entity_type,alias_source_system,alias_external_id,canonical_source_system,canonical_external_id,match_method,approval_reference,mapping_note
customer,opsplatform_workorders,00084120,contract_register,MERIDIAN-PG,deterministic_exact,,
customer,opsplatform_workorders,00084307,contract_register,CAPITAL-RP,deterministic_exact,,
customer,opsplatform_workorders,00084915,contract_register,POTOMAC-LOG,deterministic_exact,,
site,opsplatform_workorders,00093011,contract_register,MBC-NOVA-01,deterministic_exact,,
site,opsplatform_workorders,00093044,contract_register,CRG-DCCORE-01,deterministic_exact,,
site,opsplatform_workorders,00093088,contract_register,PDA-MDMONT-01,deterministic_exact,,
contract,opsplatform_workorders,00077450,contract_register,CT-2026-MERIDIAN-01,deterministic_exact,,
contract,opsplatform_workorders,00077612,contract_register,CT-2026-CAPITAL-01,deterministic_exact,,
contract,opsplatform_workorders,00077880,contract_register,CT-2026-POTOMAC-01,deterministic_exact,,
service_obligation,opsplatform_workorders,00060213,contract_register,OB-MBC-PCC-01,deterministic_exact,,
service_obligation,opsplatform_workorders,00060402,contract_register,OB-CRG-PERIODIC-01,deterministic_exact,,
service_obligation,opsplatform_workorders,00060577,contract_register,OB-PDA-EXTRA-01,deterministic_exact,,
customer,ar_ledger,80000042-1739216455,contract_register,MERIDIAN-PG,partner_canonical_key,ATLAS-MAP-2026-01,
customer,ar_ledger,80000058-1739216455,contract_register,CAPITAL-RP,partner_canonical_key,ATLAS-MAP-2026-01,
customer,ar_ledger,80000071-1739216455,contract_register,POTOMAC-LOG,partner_canonical_key,ATLAS-MAP-2026-01,
site,ar_ledger,80000107-1739216455,contract_register,MBC-NOVA-01,partner_canonical_key,ATLAS-MAP-2026-01,
site,ar_ledger,80000119-1739216455,contract_register,CRG-DCCORE-01,partner_canonical_key,ATLAS-MAP-2026-01,
